Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0603,3,22u,C59461
"C10, C11, C12, C13, C4, C7, C8, C9",0402,8,0u1,C1525
C3,0603,1,10u,C19702
C5,0402,1,1u,C52923
"D1, D3, D5",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C22371521
"D10, D11, D12, D13, D14, D15, D16, D17, D18",Diode_DFN1006,9,H5VU10U,C22395519
"D2, D4",D_SMA,2,D_Schottky,C22452
D6,0805,1,GREEN,C2297
D7,D_SMB,1,P6SMB6.8CA/TR13,C78395
D8,D_SOD-123,1,BZT52B3V3,C19077392
D9,D_SMA,1,SMAJ12A,C19077531
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"R1, R2, R3",0402,3,5k1,C25905
"R10, R11, R12, R13, R14, R15, R22, R23, R5, R6, R7",0402,11,10k,C25744
"R16, R17, R18, R19, R20, R21",0402,6,1k,C11702
R4,0603,1,1k8,C4177
"R8, R9",0402,2,22,C25092
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,SOT-23-5,1,TLV75733PDBV,C485517
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
